GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Smart-TA Unit Tests,com.bupt.smartta.listener,AppContextListener,46,0,2,0,16,0,4,0,3,0
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.WorkloadConfig,0,36,0,0,0,12,0,8,0,8
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.DataTraceability,31,45,0,0,8,16,8,8,8,8
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.FeatureCoverage,0,26,0,0,0,9,0,6,0,6
Smart-TA Unit Tests,com.bupt.smartta.model,SystemLog,0,87,0,6,0,26,0,18,0,14
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.PositionDefaults,19,27,0,0,5,10,5,5,5,5
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig,7,66,0,0,2,19,2,19,2,19
Smart-TA Unit Tests,com.bupt.smartta.model,Position,0,163,0,6,0,44,0,32,0,29
Smart-TA Unit Tests,com.bupt.smartta.model,User,3,159,0,8,2,35,0,25,0,21
Smart-TA Unit Tests,com.bupt.smartta.model,TAPplicant,5,237,4,30,0,52,4,35,0,22
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.VersionEntry,0,46,0,0,0,15,0,10,0,10
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.FileStatusConfig,15,21,0,0,4,8,4,4,4,4
Smart-TA Unit Tests,com.bupt.smartta.model,MoTaMessage,0,119,0,4,0,33,0,24,0,22
Smart-TA Unit Tests,com.bupt.smartta.model,SystemConfig.DemoAccount,0,46,0,0,0,15,0,10,0,10
Smart-TA Unit Tests,com.bupt.smartta.model,Application,0,139,0,0,0,40,0,29,0,29
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore,1302,1222,177,141,211,246,154,79,27,47
Smart-TA Unit Tests,com.bupt.smartta.util,LLMService,1377,0,188,0,238,0,112,0,18,0
Smart-TA Unit Tests,com.bupt.smartta.util,JsonFileStore,146,370,12,10,41,72,11,13,2,11
Smart-TA Unit Tests,com.bupt.smartta.util,LLMService.WorkloadEntry,15,0,0,0,6,0,1,0,1,0
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.util,LLMService.RebalanceAdvice,21,0,0,0,8,0,1,0,1,0
Smart-TA Unit Tests,com.bupt.smartta.util,DataStore.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Smart-TA Unit Tests,com.bupt.smartta.servlet,AuthServlet,1409,0,209,0,305,0,121,0,15,0
Smart-TA Unit Tests,com.bupt.smartta.servlet,ApiServlet,6402,0,1001,0,1259,0,573,0,57,0
Smart-TA Unit Tests,com.bupt.smartta.servlet,UploadServlet,417,0,54,0,96,0,34,0,7,0
Smart-TA Unit Tests,com.bupt.smartta.servlet,DownloadServlet,564,0,110,0,130,0,65,0,10,0
Smart-TA Unit Tests,com.bupt.smartta.filter,SecurityHeadersFilter,50,0,0,0,16,0,4,0,4,0
